Vitamins,Units of measure,Intake Value,Consumable,Time
Vitamin A,Micrograms RAE (mcg),900.0,,
Vitamin C,Milligrams (mg),90.0,,
Vitamin D,Micrograms (mcg),20.0,,
Vitamin E,Milligrams (mg),15.0,,
Vitamin K,Micrograms (mcg),120.0,,
Thiamine,Milligrams (mg),1.2,,
Riboflavin,Milligrams (mg),1.3,,
Niacin,Milligrams NE(mg),16.0,,
Pantothenic Acid,Milligrams (mg),5.0,,
Biotin,Micrograms (mcg),30.0,,
B6,Milligrams (mg),400.0,,
B12,Micrograms(mcg),2.4,,
Folate,Micrograms DFE (mcg),400.0,,
Calcium,Milligrams (mg),1300.0,,
Phosphorus,Milligrams (mg),1250.0,,
Magnesium,Milligrams (mg),420.0,,
Potassium,Milligrams (mg),4700.0,,
Chloride,Milligrams (mg),2300.0,,
Chromium,Micrograms(mcg),35.0,,
Choline,Milligrams(mg),550.0,,
Copper,Milligrams(mg),0.9,,
Iodine,Micrograms(mcg),150.0,,
Iron,Milligrams(mg),18.0,,
Manganese,Milligrams(mg),2.3,,
Molybdenum,Micrograms(mcg),45.0,,
Selenium,Micrograms(mcg),55.0,,
Zinc,Milligrams(mg),11.0,,
Fat,Grams (g),78.0,,
Saturated,Grams (g),20.0,,
Cholesterol,Milligrams (mg),300.0,,
Total Carbohydrates,Grams (g),275.0,,
Sodium,Milligrams (mg),2300.0,,
Dietary Fiber,Grams (g),28.0,,
Protein,Grams (g),50.0,,
Added Sugars,Grams (g),50.0,,
